"""Children are safe among family members such as grandparents, uncles, aunts, cousins"",""""""Children are mainly abused by strangers in our society"""""",Male children dont need sexual abuse prevention k0wledge,""""""Teaching sexual abuse prevention in school is 0t necessary. It will make children curious about sex"""""",Do you k0w what child grooming is?,Do you k0w what signs to look for to identify if your child has been abused?,Do you think children need post abuse counseling for recovering?,Do you think you should take legal action against the abuser of your child?,K0wledge Level"
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,0,0,0,1,0,1,0,Beginner
1,1,1,0,1,1,1,1,Beginner
0,0,0,0,1,0,0,0,Beginner
1,0,0,0,0,0,0,1,Beginner
1,1,0,0,0,1,1,1,Intermediate
1,0,1,1,0,0,1,1,Beginner
0,0,0,0,1,1,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
1,1,0,0,0,0,1,1,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,0,0,0,1,1,1,1,Intermediate
0,1,0,0,1,0,0,0,Beginner
1,1,0,1,1,0,1,1,Beginner
0,0,0,0,0,0,0,0,Beginner
0,0,0,0,1,0,0,0,Beginner
0,1,0,0,1,0,0,0,Beginner
1,0,0,0,0,1,0,0,Beginner
1,0,0,0,0,1,0,0,Beginner
0,0,0,1,0,0,0,0,Beginner
0,0,0,0,0,1,1,0,Beginner
0,0,0,0,1,0,0,1,Beginner
0,0,0,0,1,0,1,1,Beginner
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,0,0,0,1,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,0,1,1,0,0,0,0,Beginner
0,0,0,1,1,1,1,1,Intermediate
0,0,0,0,1,1,1,1,Intermediate
0,0,0,0,0,0,0,0,Beginner
0,0,0,0,0,0,0,0,Beginner
1,1,1,1,0,0,0,0,Beginner
1,1,1,0,0,0,0,0,Beginner
0,1,1,0,0,0,0,0,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,1,0,0,0,1,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
1,1,1,1,1,1,1,1,Beginner
0,0,0,0,1,1,1,0,Intermediate
1,0,1,0,0,0,1,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
0,0,0,1,1,1,1,0,Intermediate
0,0,0,0,1,0,1,1,Intermediate
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,1,0,Beginner
1,1,1,1,0,0,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,1,1,0,0,1,0,Beginner
1,1,0,0,0,0,1,0,Beginner
1,1,1,1,0,0,1,0,Beginner
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
0,0,1,1,0,0,1,0,Beginner
0,0,0,1,0,0,1,0,Beginner
1,1,1,1,0,0,1,0,Beginner
0,0,0,0,1,1,1,1,Intermediate
0,0,1,1,0,0,1,0,Beginner
0,0,0,1,1,0,1,1,Intermediate
1,1,1,1,0,0,1,0,Beginner
1,1,1,1,0,0,1,0,Beginner
1,0,1,1,1,1,1,1,Beginner
0,1,1,1,1,0,0,1,Beginner
1,1,0,1,0,1,1,0,Beginner
1,1,1,0,1,0,1,1,Beginner
1,1,1,1,1,1,0,1,Beginner
0,0,0,0,0,0,1,1,Beginner
1,1,1,1,1,1,1,0,Beginner
1,1,1,1,0,0,1,1,Beginner
1,0,1,1,0,0,1,0,Beginner
0,1,1,1,1,0,1,0,Beginner
1,1,0,1,0,1,1,1,Beginner
1,1,1,0,0,0,1,0,Beginner
1,1,0,0,0,1,1,1,Intermediate
1,1,1,1,0,0,1,0,Beginner
0,0,0,1,1,1,1,0,Intermediate
1,0,1,0,0,0,1,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
1,0,1,0,0,0,1,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
1,1,0,1,0,0,1,0,Beginner
1,1,1,1,1,0,1,0,Beginner
0,0,0,1,0,0,1,0,Beginner
1,1,1,1,1,0,1,1,Beginner
1,1,0,1,1,0,1,0,Beginner
1,1,1,1,1,0,1,0,Beginner
1,1,0,1,1,0,1,0,Beginner
1,0,1,1,0,0,1,0,Beginner
1,1,1,1,1,0,1,1,Beginner
1,0,1,1,0,0,1,0,Beginner
0,1,1,1,1,0,1,0,Beginner
1,1,0,1,0,0,1,0,Beginner
1,0,1,1,1,0,1,1,Beginner
1,0,1,1,1,1,1,1,Intermediate
1,1,1,1,0,0,1,0,Beginner
0,0,0,1,0,0,1,0,Beginner
0,0,0,0,1,1,1,0,Intermediate
0,0,0,1,0,0,1,0,Beginner
1,1,1,1,1,1,1,0,Intermediate
1,1,1,1,0,0,1,0,Beginner
1,1,1,1,0,0,1,1,Beginner
1,0,1,1,0,1,1,0,Beginner
1,1,0,0,0,1,1,0,Beginner
1,0,1,1,0,1,1,0,Beginner
0,0,0,1,0,1,1,0,Beginner
0,0,1,1,1,0,1,0,Beginner
0,0,0,1,1,1,1,0,Intermediate
0,0,0,0,1,1,1,1,Intermediate
0,1,1,0,0,0,1,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,1,0,1,0,0,1,Beginner
1,1,0,0,1,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
1,0,1,1,1,0,1,0,Beginner
1,0,0,1,1,1,0,1,Beginner
1,0,0,0,1,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,0,1,1,1,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,0,1,0,0,0,1,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,1,1,0,0,0,0,0,Beginner
0,0,0,0,1,1,1,0,Intermediate
0,1,1,0,0,0,1,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,1,0,1,0,0,1,Beginner
1,1,0,0,1,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
1,0,1,1,1,0,1,0,Beginner
1,0,0,1,1,1,0,1,Beginner
1,0,0,0,1,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,0,1,1,1,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,0,1,0,0,0,1,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,1,0,1,0,Beginner
0,0,0,1,1,0,0,0,Beginner
1,1,0,0,1,0,0,0,Beginner
0,1,0,0,1,0,0,0,Beginner
0,0,0,1,1,0,0,0,Beginner
0,0,0,0,1,1,1,1,Intermediate
0,0,0,0,1,0,0,0,Beginner
1,0,1,1,1,0,0,0,Beginner
0,0,1,0,1,1,0,0,Beginner
0,0,0,0,1,1,0,0,Beginner
0,0,0,1,1,0,0,0,Beginner
0,0,0,1,0,0,0,0,Beginner
0,0,1,0,0,0,0,1,Beginner
0,0,1,0,0,0,0,0,Beginner
1,0,1,1,0,0,0,0,Beginner
0,0,0,1,0,0,0,0,Beginner
0,0,0,1,0,0,0,0,Beginner
1,1,1,0,0,1,1,1,Beginner
0,0,0,0,0,1,1,1,Beginner
0,0,0,1,0,1,0,0,Beginner
1,0,1,1,0,1,0,0,Beginner
0,0,1,1,0,1,0,0,Beginner
1,0,0,0,0,1,0,0,Beginner
0,0,1,1,0,0,0,0,Beginner
1,1,0,0,0,1,1,1,Intermediate
0,0,0,1,0,0,0,0,Beginner
0,0,0,0,0,0,0,0,Beginner
0,1,0,0,0,0,0,0,Beginner
1,1,1,1,0,0,0,0,Beginner
0,0,0,0,0,0,0,0,Beginner
0,0,0,0,1,1,0,1,Intermediate
0,0,1,0,1,0,0,0,Beginner
1,0,0,0,1,0,0,0,Beginner
1,1,0,0,1,0,0,1,Beginner
0,0,1,0,1,0,0,0,Beginner
1,1,0,1,1,0,0,0,Beginner
0,0,0,1,1,0,0,0,Beginner
0,1,0,1,1,0,1,1,Beginner
1,1,0,0,1,0,1,1,Beginner
0,0,0,0,1,0,0,0,Beginner
0,1,0,0,1,0,0,0,Beginner
1,1,1,0,1,0,0,0,Beginner
1,1,0,0,1,0,0,0,Beginner
1,0,1,0,1,0,0,1,Beginner
0,1,0,0,1,0,0,0,Beginner
0,0,0,0,1,0,0,0,Beginner
0,0,0,0,1,0,0,0,Beginner
1,1,0,0,0,1,0,1,Intermediate
1,1,0,0,0,1,1,1,Intermediate
0,1,0,0,0,0,1,1,Beginner
0,0,0,0,0,1,0,0,Beginner
0,0,0,0,0,1,0,0,Beginner
0,0,0,0,0,1,0,0,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,1,0,1,1,1,Beginner
1,1,1,1,0,1,1,0,Beginner
1,1,1,1,0,1,1,0,Beginner
1,1,1,1,0,1,0,0,Beginner
1,1,1,0,0,1,1,1,Beginner
0,1,0,1,0,1,1,1,Beginner
1,1,1,1,0,1,1,1,Beginner
0,0,1,1,0,1,1,1,Beginner
0,0,1,1,0,1,1,1,Beginner
0,0,0,1,0,1,1,1,Beginner
0,0,0,0,1,0,1,1,Beginner
0,0,0,1,0,0,1,1,Beginner
0,1,1,1,0,0,1,1,Beginner
0,0,1,1,0,0,1,1,Beginner
0,0,0,0,1,1,0,1,Intermediate
1,1,1,1,0,0,1,1,Beginner
1,0,1,1,0,1,1,1,Beginner
0,1,1,1,0,1,1,1,Beginner
1,1,0,1,0,1,1,1,Beginner
1,1,1,0,0,1,1,1,Beginner
0,0,1,1,0,1,1,1,Beginner
0,0,1,1,0,1,1,1,Beginner
0,0,0,0,0,1,1,1,Beginner
0,0,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
0,0,0,0,0,0,1,1,Beginner
1,0,0,0,1,1,1,1,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,1,1,0,0,1,1,Beginner
0,1,1,1,1,1,1,1,Beginner
0,1,1,1,1,1,1,1,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,1,1,1,1,1,1,Beginner
0,0,0,1,1,1,1,1,Intermediate
1,0,1,0,1,1,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,0,1,0,1,1,1,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,0,1,0,0,1,1,Beginner
0,0,1,1,0,0,1,1,Beginner
1,1,1,1,0,0,1,1,Beginner
0,0,0,0,1,1,0,1,Intermediate
0,1,1,0,0,1,1,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,1,0,1,1,0,1,Beginner
1,1,0,0,1,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
1,0,1,1,1,0,1,0,Beginner
1,0,0,1,1,1,0,1,Beginner
1,0,0,0,1,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,1,0,0,1,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,0,1,0,1,0,0,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
0,0,1,1,1,0,1,1,Beginner
0,0,0,1,0,0,1,1,Beginner
0,0,1,1,1,0,1,1,Beginner
1,1,0,0,1,0,1,1,Beginner
0,0,0,0,1,1,1,1,Intermediate
0,1,1,0,0,1,1,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,1,0,1,1,0,1,Beginner
1,1,0,0,1,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
1,0,1,1,1,0,1,0,Beginner
1,0,0,1,1,1,0,1,Beginner
1,0,0,0,1,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,1,0,0,1,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,0,1,0,1,0,0,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
0,1,1,0,0,1,0,1,Beginner
0,0,1,0,0,1,0,0,Beginner
0,0,1,0,1,1,1,1,Intermediate
0,1,1,0,0,1,1,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,1,0,1,1,0,1,Beginner
1,1,0,0,1,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
1,0,1,1,1,0,1,0,Beginner
1,0,0,1,1,1,0,1,Beginner
1,0,0,0,1,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,1,0,0,1,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,0,1,0,1,0,0,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
1,0,1,1,0,0,0,1,Beginner
0,0,0,1,0,1,0,1,Beginner
1,1,0,1,0,0,1,1,Beginner
0,0,0,1,1,0,0,1,Beginner
0,0,0,1,0,1,0,1,Beginner
1,0,1,1,1,0,0,1,Beginner
1,0,0,0,0,0,0,0,Beginner
1,0,0,1,1,1,0,1,Beginner
0,0,0,0,0,0,0,1,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,1,1,0,0,1,1,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,1,1,1,0,0,1,Beginner
0,0,1,0,1,1,0,1,Beginner
1,1,0,0,1,0,1,1,Beginner
1,1,1,1,0,0,0,0,Beginner
1,0,1,1,1,0,1,0,Beginner
1,0,0,1,1,1,0,1,Beginner
1,0,0,0,1,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,1,0,0,1,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,0,1,0,1,0,0,1,Beginner
0,1,0,1,0,0,1,0,Beginner
1,1,1,1,1,1,1,1,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,0,1,0,1,1,Beginner
0,1,0,0,0,0,1,0,Beginner
1,1,0,1,0,0,0,1,Beginner
0,0,0,1,1,0,0,1,Beginner
1,0,0,1,0,0,0,1,Beginner
0,0,0,0,0,0,0,1,Beginner
1,0,0,1,1,0,0,1,Beginner
1,0,0,1,0,0,0,0,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,0,0,1,0,0,0,1,Beginner
0,0,0,1,0,0,1,1,Beginner
1,0,0,1,0,0,1,1,Beginner
1,0,0,1,0,0,0,1,Beginner
1,0,0,1,0,0,0,0,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,0,0,0,1,1,1,1,Intermediate
1,0,0,1,0,0,0,1,Beginner
0,0,1,0,0,1,1,0,Beginner
0,0,1,1,0,0,1,1,Beginner
1,1,0,0,0,0,1,0,Beginner
1,1,0,0,0,0,0,0,Beginner
1,1,1,0,0,0,0,1,Beginner
1,1,0,0,0,0,0,0,Beginner
0,0,0,0,0,0,0,1,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,0,0,0,1,0,0,Beginner
1,0,1,0,1,1,1,0,Intermediate
0,0,0,0,0,1,1,1,Beginner
0,1,1,0,0,0,1,0,Beginner
1,0,0,0,0,1,1,0,Beginner
1,0,0,0,1,1,1,0,Intermediate
1,1,0,0,0,1,1,1,Intermediate
0,1,0,0,0,0,1,0,Beginner
1,0,0,0,1,1,1,1,Intermediate
0,0,0,0,1,1,1,1,Intermediate
0,1,1,0,0,0,1,0,Beginner
0,1,0,0,0,1,1,1,Intermediate
1,1,0,0,1,1,1,0,Intermediate
1,0,0,1,0,1,1,0,Beginner
1,1,0,0,0,0,1,0,Beginner
1,0,0,0,1,1,1,1,Intermediate
0,0,0,0,0,1,1,0,Beginner
1,1,0,0,0,0,1,0,Beginner
0,0,0,1,1,0,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
0,0,0,0,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,0,0,0,0,0,1,0,Beginner
1,1,0,0,0,0,1,1,Beginner
1,1,0,0,0,1,1,1,Intermediate
1,1,0,0,0,0,1,0,Beginner
0,0,0,0,0,0,1,1,Intermediate
0,1,0,0,0,0,1,1,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
0,1,0,0,0,1,0,1,Intermediate
0,1,0,0,0,1,1,1,Intermediate
0,1,0,0,0,0,1,1,Beginner
0,0,0,0,0,0,1,0,Beginner
1,0,1,1,0,0,1,1,Beginner
0,1,0,0,0,1,1,0,Intermediate
0,1,0,1,0,0,1,0,Beginner
0,0,0,1,1,0,1,1,Intermediate
0,0,1,0,1,0,1,1,Intermediate
1,0,0,1,1,0,1,1,Intermediate
1,0,0,1,1,1,1,1,Intermediate
1,0,0,1,1,1,1,1,Intermediate
0,0,0,1,1,1,1,0,Intermediate
0,0,0,1,1,1,1,0,Intermediate
0,0,0,1,1,1,1,0,Intermediate
0,0,0,1,1,0,1,1,Intermediate
0,0,1,1,1,0,1,1,Intermediate
1,0,1,1,1,0,1,1,Intermediate
1,0,1,1,1,0,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
0,0,0,0,1,1,0,1,Intermediate
0,0,0,0,1,1,0,1,Intermediate
0,0,0,0,0,0,1,1,Beginner
0,0,1,1,0,0,1,1,Beginner
1,1,0,0,0,1,1,0,Intermediate
1,1,1,1,0,0,0,0,Beginner
1,1,0,0,0,1,1,1,Intermediate
0,1,0,0,1,1,1,1,Intermediate
0,0,0,1,1,1,1,1,Intermediate
0,0,0,0,0,0,1,1,Beginner
1,1,0,0,0,1,1,1,Intermediate
0,0,0,0,0,0,1,0,Beginner
1,1,1,1,0,0,0,0,Beginner
1,1,1,1,1,0,0,0,Beginner
1,1,1,1,1,0,0,0,Beginner
1,1,1,1,1,0,0,0,Beginner
1,1,1,1,1,1,0,0,Beginner
1,1,1,1,1,1,0,0,Beginner
1,0,1,1,0,1,0,0,Beginner
0,1,1,1,0,1,0,0,Beginner
0,1,1,1,0,1,0,0,Beginner
1,1,1,0,0,0,0,0,Beginner
0,0,0,1,1,1,1,0,Intermediate
0,0,0,1,1,0,1,1,Intermediate
0,0,1,1,1,0,1,1,Intermediate
1,0,1,1,1,0,1,1,Intermediate
1,0,1,1,1,0,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
0,0,0,0,1,1,0,1,Intermediate
0,0,0,0,1,0,0,1,Intermediate
1,0,0,1,0,0,0,0,Beginner
0,1,0,0,1,1,0,0,Beginner
0,0,0,1,1,1,0,0,Beginner
1,1,1,1,0,0,0,0,Beginner
1,1,1,0,1,0,0,0,Beginner
0,0,1,0,0,0,0,0,Beginner
0,1,1,0,1,1,0,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,1,1,1,1,1,0,Intermediate
0,1,0,1,0,0,0,0,Beginner
1,1,1,1,0,0,1,1,Beginner
1,1,1,1,1,0,0,1,Beginner
1,1,1,0,0,0,1,0,Beginner
1,0,0,1,1,1,1,0,Intermediate
1,1,0,0,0,0,0,1,Beginner
0,0,0,1,0,0,1,1,Beginner
0,1,0,1,1,0,1,1,Beginner
1,1,1,1,0,1,0,0,Beginner
0,0,1,1,0,1,1,1,Beginner
1,0,1,1,0,1,1,1,Beginner
0,0,1,0,0,0,1,1,Beginner
0,0,1,0,0,1,1,0,Beginner
1,1,1,1,0,1,0,1,Beginner
1,1,1,1,0,0,0,1,Beginner
1,1,1,1,1,0,0,0,Beginner
0,0,0,1,1,0,1,1,Intermediate
1,1,1,1,0,0,0,0,Beginner
0,0,0,1,1,0,1,1,Intermediate
0,0,0,1,1,0,1,1,Intermediate
0,0,0,1,1,1,1,1,Intermediate
0,0,0,0,1,1,1,1,Intermediate
0,0,0,1,1,1,1,0,Intermediate
0,0,0,1,1,1,1,0,Intermediate
0,1,0,1,1,0,1,1,Beginner
1,0,0,1,1,0,1,1,Intermediate
1,1,0,1,1,0,1,1,Beginner
1,0,0,1,1,0,1,1,Intermediate
0,0,0,1,0,0,1,1,Beginner
0,0,0,1,1,0,1,0,Beginner
0,0,0,1,1,0,0,0,Beginner
0,0,0,1,1,0,1,0,Beginner
1,0,0,0,1,1,1,1,Intermediate
1,0,1,1,1,1,1,0,Intermediate
0,0,1,1,1,0,1,1,Intermediate
0,0,0,0,1,1,1,0,Intermediate
0,0,0,0,1,1,0,1,Intermediate
1,0,1,1,1,1,1,1,Intermediate
0,1,0,0,0,1,1,0,Intermediate
